Scenario Instance Id,State,Status,SubStatus,Company Code,Document Number,Item,Business Area,Document Type,Cycle Time,Vendor,Invoice Value,Active Phases,Completed Phases,Compliance Issues,Critical Vendor,Early Payment,Invoiced Manually,Late Payment
643ed8013398cc24c76d01fd,Open,At Risk,Payment Block Set,R100,66942,2,8889,RE,4.63 Days,Acme Industrial Supplies,6050 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d027f,Open,On Track,On Time,2000,44910,2,7000,KR,7.83 Days,American Business Services,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d020c,Open,At Risk,Payment Block Set,R100,294336,2,9900,KR,4.62 Days,Sommer GmbH,7600 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d018a,Open,At Risk,Payment Block Set,3000,235458,2,3000,RE,4.62 Days,AluCast,358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff82,Open,At Risk,Payment Block Set,1000,101610,2,9900,RE,4.63 Days,Acme Industrial Supplies,10814 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffb3,Open,At Risk,Payment Block Set,R100,298512,2,2000,KR,4.62 Days,Phunix GmbH,10814 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0159,Open,On Track,On Time,2000,173772,2,4000,RE,7.82 Days,American Business Services,7543 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cff31,Open,On Track,On Time,2000,186750,2,9900,KR,7.82 Days,American Business Services,8114 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d025d,Open,At Risk,Payment Block Set,2000,56772,2,9900,KR,4.63 Days,Sunny Electronics GmbH,7831 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01ec,Open,At Risk,Payment Block Set,3000,269460,2,9900,KR,4.63 Days,Tiefland Glass AG,358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d026e,Open,At Risk,Payment Block Set,2000,58878,2,9900,KR,4.62 Days,American Business Services,6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d016a,Open,At Risk,Payment Block Set,2000,105138,1,9900,KR,4.63 Days,Acme Industrial Supplies,7416 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0066,Open,On Track,On Time,3000,305244,2,1000,KR,7.83 Days,Phunix GmbH,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cffa2,Open,At Risk,Payment Block Set,3000,276912,2,8889,KR,4.63 Days,American Business Services,6011 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0139,Open,At Risk,Payment Block Set,1000,6408,2,7000,KR,4.63 Days,C.E.B. New York,6106 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01bb,Open,At Risk,Payment Block Set,2000,304794,2,9900,KR,4.63 Days,Tiefland Glass AG,8894 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffd3,Open,At Risk,Payment Block Set,3000,87192,2,8889,KR,4.62 Days,American Business Services,8338 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cfecf,Open,On Track,On Time,2000,281268,2,1000,KR,7.83 Days,AluCast,7380 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d01ce,Open,At Risk,Payment Block Set,1000,222732,2,7000,KR,4.62 Days,American Business Services,6382 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d019d,Open,At Risk,Payment Block Set,1000,132120,2,9900,KR,4.63 Days,Tiefland Glass AG,7291 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0099,Open,On Track,On Time,2000,109440,1,3000,KR,7.83 Days,American Business Services,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cff75,Open,At Risk,Payment Block Set,1000,272412,2,7000,KR,4.62 Days,American Business Services,9067 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d011b,Open,At Risk,Payment Block Set,R100,114462,2,4000,KR,4.63 Days,AluCast,6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffa6,Open,At Risk,Payment Block Set,1000,238500,2,1,KR,4.63 Days,"Multi-State Brokers, Inc.",358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d021f,Open,At Risk,Payment Block Set,1000,270666,2,3000,KR,4.63 Days,Acme Industrial Supplies,10814 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0230,Open,At Risk,Payment Block Set,3000,76968,2,5000,KR,4.63 Days,"eSupplier, Inc",6717 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01ae,Open,At Risk,Payment Block Set,2000,81450,2,1000,KR,4.62 Days,Acme Industrial Supplies,6871 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff95,Open,At Risk,Payment Block Set,2000,85392,2,9900,KR,4.62 Days,AluCast,6687 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffc6,Open,At Risk,Payment Block Set,2000,102654,1,9900,KR,4.62 Days,Sunny Electronics GmbH,6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01ff,Open,At Risk,Payment Block Set,2000,296622,2,3000,KR,4.62 Days,Phunix GmbH,6614 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff84,Open,At Risk,Payment Block Set,3000,118278,2,3000,KR,4.62 Days,AluCast,7225 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d010a,Open,At Risk,Payment Block Set,2000,238032,2,7000,KR,4.63 Days,American Business Services,358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d020e,Open,At Risk,Payment Block Set,R100,298350,2,9900,KR,4.63 Days,American Business Services,6535 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d025f,Open,At Risk,Payment Block Set,1000,110340,1,9900,KR,4.63 Days,Phunix GmbH,7468 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d015b,Open,On Track,On Time,2000,109566,1,7000,RE,7.82 Days,Phunix GmbH,358 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cffb5,Open,At Risk,Payment Block Set,2000,59850,2,1000,KR,4.63 Days,Tiefland Glass AG,10814 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff33,Open,On Track,On Time,R100,53064,2,3000,KR,7.83 Days,"Multi-State Brokers, Inc.",10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d0270,Open,At Risk,Payment Block Set,1000,101106,2,9900,KR,4.62 Days,Phunix GmbH,21 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d016c,Open,At Risk,Payment Block Set,2000,27936,1,9900,KR,4.62 Days,Phunix GmbH,7593 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0068,Open,On Track,On Time,2000,160758,2,6000,KR,7.83 Days,Tiefland Glass AG,358 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cffa4,Open,At Risk,Payment Block Set,3000,83232,2,5000,KR,4.63 Days,American Business Services,6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01ee,Open,At Risk,Payment Block Set,2000,235098,2,9900,KR,4.63 Days,American Business Services,9058 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffd5,Open,At Risk,Payment Block Set,2000,222318,2,2000,KR,4.62 Days,American Business Services,6783 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cfed1,Open,On Track,On Time,2000,214596,2,7000,KR,7.83 Days,Wollner AG,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d00b9,Open,On Track,On Time,2000,261468,2,9900,KR,7.83 Days,Phunix GmbH,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d01bd,Open,At Risk,Payment Block Set,1000,146754,2,1500,KR,4.63 Days,"Multi-State Brokers, Inc.",6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d013b,Open,At Risk,Payment Block Set,2000,297738,2,7000,KR,4.62 Days,Phunix GmbH,6104 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d024a,Open,At Risk,Payment Block Set,3000,64098,2,7000,KR,4.62 Days,American Business Services,6877 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffc0,Open,At Risk,Payment Block Set,2000,66744,2,3000,KR,4.62 Days,American Business Services,8881 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01c8,Open,At Risk,Payment Block Set,2000,35748,2,9900,KR,4.63 Days,American Business Services,5983 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0062,Open,On Track,On Time,1000,81666,2,8889,KR,7.82 Days,American Business Services,358 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cffe0,Open,At Risk,Payment Block Set,3000,288324,2,9900,KR,4.62 Days,Tiefland Glass AG,6373 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff8f,Open,At Risk,Payment Block Set,3000,225324,1,2000,KR,4.62 Days,Tiefland Glass AG,7443 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01f9,Open,At Risk,Payment Block Set,3000,270882,2,1000,KR,4.63 Days,"Multi-State Brokers, Inc.",358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff0d,Open,On Track,On Time,3000,94680,2,8889,RE,7.83 Days,Phunix GmbH,358 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76cff7e,Open,At Risk,Payment Block Set,1000,274608,2,1000,KR,4.62 Days,Phunix GmbH,8160 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0155,Open,On Track,On Time,3000,84942,2,2000,KR,7.83 Days,SKF Americas,10814 EUR,Pay Invoice,"Create Invoice,Record Invoice",0,1,0,0,0
643ed8013398cc24c76d01d7,Open,At Risk,Payment Block Set,2000,295650,2,7000,KR,4.62 Days,MOBILE Inc.,6481 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cffaf,Open,At Risk,Payment Block Set,2000,235638,2,2000,KR,4.63 Days,Phunix GmbH,7278 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0259,Open,At Risk,Payment Block Set,R100,92448,2,9900,KR,4.63 Days,American Business Services,5752 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0124,Open,At Risk,Payment Block Set,2000,225504,1,7000,KR,4.63 Days,Tiefland Glass AG,8563 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01e8,Open,At Risk,Payment Block Set,R100,105174,1,7000,KR,4.62 Days,American Business Services,358 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0166,Open,At Risk,Payment Block Set,1000,229356,2,8889,KR,4.63 Days,Phunix GmbH,7691 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76cff9e,Open,At Risk,Payment Block Set,R100,285390,2,9900,KR,4.63 Days,American Business Services,7600 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d0135,Open,At Risk,Payment Block Set,2000,238626,2,1500,KR,4.62 Days,SKF Americas,7155 EUR,Record Invoice,Create Invoice,0,0,0,1,0
643ed8013398cc24c76d01b7,Open,At Risk,Payment Block Set,3000,121194,2,7000,RE,4.63 Days,Tiefland Glass AG,6148 EUR,Record Invoice,Create Invoice,0,0,0,1,0
